image,mean_bad_scores,std_deviation_bad_scores,filter_n
p0/i0,0.02071417,0.015920794,35
p0/i1,0.0221364,0.016253236,24.8
p0/i2,0.03919227,0.032119058,4
p1/i0,0.034048974,0.020596865,17.4
p1/i1,0.031653133,0.023510118,11
p1/i2,0.04099305,0.035052434,3.5
p2/i0,0.057334325,0.029991707,2.5
p2/i1,0.045119032,0.028256917,5
p2/i2,0.04656353,0.031802365,2.75
p3/i0,0.048083134,0.049730556,2
p3/i1,0.032190953,0.028965349,8
p3/i2,0.042765744,0.031118749,5.5
p4/i0,0.068348218,0.061148387,5
p4/i1,0.053498646,0.054163763,7
p4/i2,0.058636697,0.056680384,4.333333333
p5/i0,0.067612717,0.048807118,2.5
p5/i1,0.04037828,0.041239558,7
p5/i2,0.041706212,0.047085695,4
p6/i0,0.064587287,0.059425689,7.5
p6/i1,0.04378381,0.052049596,6.333333333
p6/i2,0.07815227,0.06872261,6.666666667
p7/i0,0.068701585,0.06747823,5
p7/i1,0.069520383,0.062152177,5.666666667
p7/i2,0.076234403,0.065765607,3
p8/i0,0.041822292,0.030725059,7
p8/i1,0.042892435,0.026949551,7
p8/i2,0.048624395,0.046852929,2.666666667
p9/i0,0.03920846,0.023883311,5
p9/i1,0.029647721,0.024539517,10.5
p9/i2,0.024691369,0.020589523,12.5
